FED Date,USD/EUR,3M USD LIBOR,EBR Date,3M EUR LIBOR
1999-01-04,1.1812,5.06031,,
1999-01-05,1.1760,5.06031,,
1999-01-06,1.1636,5.06031,,
1999-01-07,1.1672,5.05750,,
1999-01-08,1.1554,5.03781,,
1999-01-11,1.1534,5.04516,,
1999-01-12,1.1548,5.06031,,
1999-01-13,1.1698,5.03016,,
1999-01-14,1.1689,5.00500,,
1999-01-15,1.1591,4.96984,,
1999-01-18,#N/A,4.97219,,
1999-01-19,1.1610,4.97000,,
1999-01-20,1.1575,4.97109,,
1999-01-21,1.1577,4.97078,,
1999-01-22,1.1582,4.96813,,
1999-01-25,1.1566,4.96688,,
1999-01-26,1.1577,4.96828,,
1999-01-27,1.1481,4.96969,,
1999-01-28,1.1395,4.96969,,
1999-01-29,1.1371,4.96953,,
1999-02-01,1.1303,4.96938,,
1999-02-02,1.1328,4.97359,,
1999-02-03,1.1339,4.97344,,
1999-02-04,1.1306,4.97094,,
1999-02-05,1.1283,4.98250,,
1999-02-08,1.1296,5.00000,,
1999-02-09,1.1300,5.00000,,
1999-02-10,1.1331,5.00000,,
1999-02-11,1.1303,5.00000,,
1999-02-12,1.1282,5.00000,,
1999-02-15,#N/A,5.00000,,
1999-02-16,1.1189,5.00000,,
1999-02-17,1.1230,5.00000,,
1999-02-18,1.1223,5.00000,,
1999-02-19,1.1075,5.00000,,
1999-02-22,1.1037,5.00000,,
1999-02-23,1.0993,5.00000,,
1999-02-24,1.0972,5.00375,,
1999-02-25,1.1068,5.02000,,
1999-02-26,1.0995,5.02625,,
1999-03-01,1.0891,5.02750,,
1999-03-02,1.0931,5.03391,,
1999-03-03,1.0888,5.03000,,
1999-03-04,1.0824,5.03000,,
1999-03-05,1.0843,5.03000,,
1999-03-08,1.0899,5.00000,,
1999-03-09,1.0873,5.00000,,
1999-03-10,1.0961,5.00000,,
1999-03-11,1.0932,5.00000,,
1999-03-12,1.0936,5.00000,,
1999-03-15,1.0930,5.00000,,
1999-03-16,1.0915,5.00000,,
1999-03-17,1.1015,5.00000,,
1999-03-18,1.0990,5.00000,,
1999-03-19,1.0923,5.00000,,
1999-03-22,1.0915,4.96813,,
1999-03-23,1.0918,5.00000,,
1999-03-24,1.0921,5.00000,,
1999-03-25,1.0871,5.00000,,
1999-03-26,1.0743,5.00000,,
1999-03-29,1.0716,5.00000,,
1999-03-30,1.0732,5.00000,,
1999-03-31,1.0808,5.00000,,
1999-04-01,1.0782,5.00000,,
1999-04-02,1.0782,#N/A,,
1999-04-05,1.0706,#N/A,,
1999-04-06,1.0838,5.00000,,
1999-04-07,1.0784,5.00000,,
1999-04-08,1.0835,5.00000,,
1999-04-09,1.0786,5.00000,,
1999-04-12,1.0842,5.00000,,
1999-04-13,1.0780,5.00000,,
1999-04-14,1.0779,5.00000,,
1999-04-15,1.0717,5.00000,,
1999-04-16,1.0688,5.00000,,
1999-04-19,1.0608,5.00000,,
1999-04-20,1.0630,5.00000,,
1999-04-21,1.0612,5.00000,,
1999-04-22,1.0598,4.99750,,
1999-04-23,1.0634,4.99500,,
1999-04-26,1.0590,4.99625,,
1999-04-27,1.0649,4.99625,,
1999-04-28,1.0616,4.99625,,
1999-04-29,1.0591,4.99500,,
1999-04-30,1.0564,4.98875,,
1999-05-03,1.0571,#N/A,,
1999-05-04,1.0593,5.00000,,
1999-05-05,1.0724,5.00000,,
1999-05-06,1.0779,5.00000,,
1999-05-07,1.0781,5.00000,,
1999-05-10,1.0787,5.00000,,
1999-05-11,1.0720,5.00000,,
1999-05-12,1.0666,5.00000,,
1999-05-13,1.0626,5.00000,,
1999-05-14,1.0650,5.00000,,
1999-05-17,1.0672,5.02750,,
1999-05-18,1.0672,5.03000,,
1999-05-19,1.0641,5.05000,,
1999-05-20,1.0630,5.04750,,
1999-05-21,1.0577,5.04875,,
1999-05-24,1.0593,5.04750,,
1999-05-25,1.0587,5.04688,,
1999-05-26,1.0471,5.04250,,
1999-05-27,1.0439,5.05125,,
1999-05-28,1.0422,5.06620,,
1999-05-31,#N/A,#N/A,,
1999-06-01,1.0449,5.06875,,
1999-06-02,1.0357,5.09750,,
1999-06-03,1.0355,5.09625,,
1999-06-04,1.0327,5.09750,,
1999-06-07,1.0296,5.09875,,
1999-06-08,1.0438,5.09625,,
1999-06-09,1.0450,5.10000,,
1999-06-10,1.0477,5.12500,,
1999-06-11,1.0516,5.14375,,
1999-06-14,1.0416,5.15500,,
1999-06-15,1.0420,5.15500,,
1999-06-16,1.0298,5.17625,,
1999-06-17,1.0329,5.17375,,
1999-06-18,1.0368,5.16500,,
1999-06-21,1.0323,5.17875,,
1999-06-22,1.0323,5.18875,,
1999-06-23,1.0316,5.21750,,
1999-06-24,1.0372,5.26375,,
1999-06-25,1.0448,5.29250,,
1999-06-28,1.0373,5.32750,,
1999-06-29,1.0337,5.34875,,
1999-06-30,1.0310,5.36750,,
1999-07-01,1.0236,5.30250,,
1999-07-02,1.0244,5.31000,,
1999-07-05,#N/A,5.31000,,
1999-07-06,1.0249,5.31000,,
1999-07-07,1.0224,5.31000,,
1999-07-08,1.0198,5.31000,,
1999-07-09,1.0186,5.31000,,
1999-07-12,1.0139,5.31000,,
1999-07-13,1.0176,5.31000,,
1999-07-14,1.0215,5.31000,,
1999-07-15,1.0220,5.31000,,
1999-07-16,1.0203,5.31000,,
1999-07-19,1.0203,5.30875,,
1999-07-20,1.0420,5.30875,,
1999-07-21,1.0526,5.29125,,
1999-07-22,1.0509,5.28750,,
1999-07-23,1.0497,5.31000,,
1999-07-26,1.0651,5.31125,,
1999-07-27,1.0627,5.31250,,
1999-07-28,1.0644,5.31250,,
1999-07-29,1.0719,5.31250,,
1999-07-30,1.0694,5.34250,,
1999-08-02,1.0661,5.36375,,
1999-08-03,1.0680,5.37000,,
1999-08-04,1.0766,5.37375,,
1999-08-05,1.0793,5.37250,,
1999-08-06,1.0770,5.37000,,
1999-08-09,1.0694,5.42500,,
1999-08-10,1.0752,5.44000,,
1999-08-11,1.0660,5.44000,,
1999-08-12,1.0636,5.45250,,
1999-08-13,1.0568,5.46500,,
1999-08-16,1.0557,5.46750,,
1999-08-17,1.0525,5.47750,,
1999-08-18,1.0505,5.48000,,
1999-08-19,1.0643,5.48125,,
1999-08-20,1.0654,5.48000,,
1999-08-23,1.0553,5.48563,,
1999-08-24,1.0506,5.49313,,
1999-08-25,1.0461,5.49563,,
1999-08-26,1.0441,5.49250,,
1999-08-27,1.0460,5.50250,,
1999-08-30,1.0445,#N/A,,
1999-08-31,1.0581,5.52000,,
1999-09-01,1.0582,5.52250,,
1999-09-02,1.0689,5.52125,,
1999-09-03,1.0605,5.52750,,
1999-09-06,#N/A,5.50875,,
1999-09-07,1.0581,5.51250,,
1999-09-08,1.0590,5.51875,,
1999-09-09,1.0543,5.51125,,
1999-09-10,1.0402,5.51250,,
1999-09-13,1.0400,5.51000,,
1999-09-14,1.0408,5.51000,,
1999-09-15,1.0385,5.52000,,
1999-09-16,1.0418,5.51250,,
1999-09-17,1.0399,5.51250,,
1999-09-20,1.0408,5.51125,,
1999-09-21,1.0460,5.51375,,
1999-09-22,1.0500,5.51500,,
1999-09-23,1.0415,5.51625,,
1999-09-24,1.0466,5.51000,,
1999-09-27,1.0431,5.50500,,
1999-09-28,1.0509,5.50875,,
1999-09-29,1.0613,6.07875,,
1999-09-30,1.0643,6.08375,,
1999-10-01,1.0718,6.08500,,
1999-10-04,1.0703,6.12375,,
1999-10-05,1.0693,6.13000,,
1999-10-06,1.0704,6.16375,,
1999-10-07,1.0721,6.17625,,
1999-10-08,1.0630,6.17625,,
1999-10-11,#N/A,6.17375,,
1999-10-12,1.0737,6.17375,,
1999-10-13,1.0758,6.17750,,
1999-10-14,1.0799,6.18625,,
1999-10-15,1.0887,6.19250,,
1999-10-18,1.0863,6.19750,,
1999-10-19,1.0833,6.20063,,
1999-10-20,1.0765,6.22250,,
1999-10-21,1.0808,6.22250,,
1999-10-22,1.0678,6.21875,,
1999-10-25,1.0666,6.20250,,
1999-10-26,1.0578,6.20375,,
1999-10-27,1.0532,6.21125,,
1999-10-28,1.0519,6.20500,,
1999-10-29,1.0518,6.18500,,
1999-11-01,1.0494,6.16125,,
1999-11-02,1.0506,6.15875,,
1999-11-03,1.0485,6.15500,,
1999-11-04,1.0440,6.13250,,
1999-11-05,1.0400,6.12500,,
1999-11-08,1.0363,6.06625,,
1999-11-09,1.0401,6.06375,,
1999-11-10,1.0436,6.06375,,
1999-11-11,#N/A,6.07000,,
1999-11-12,1.0315,6.07125,,
1999-11-15,1.0315,6.07000,,
1999-11-16,1.0312,6.07000,,
1999-11-17,1.0403,6.10125,,
1999-11-18,1.0297,6.10375,,
1999-11-19,1.0313,6.10125,,
1999-11-22,1.0327,6.10188,,
1999-11-23,1.0261,6.10125,,
1999-11-24,1.0176,6.10125,,
1999-11-25,#N/A,6.10625,,
1999-11-26,1.0137,6.10625,,
1999-11-29,1.0100,6.11000,,
1999-11-30,1.0077,6.11500,,
1999-12-01,1.0059,6.12125,,
1999-12-02,1.0023,6.12125,,
1999-12-03,1.0016,6.12375,,
1999-12-06,1.0252,6.12000,,
1999-12-07,1.0222,6.12000,,
1999-12-08,1.0263,6.12000,,
1999-12-09,1.0161,6.12000,,
1999-12-10,1.0158,6.12125,,
1999-12-13,1.0120,6.12125,,
1999-12-14,1.0067,6.12000,,
1999-12-15,1.0066,6.14000,,
1999-12-16,1.0169,6.14000,,
1999-12-17,1.0088,6.15250,,
1999-12-20,1.0066,6.16250,,
1999-12-21,1.0093,6.17500,,
1999-12-22,1.0080,6.18000,,
1999-12-23,1.0162,6.18125,,
1999-12-24,1.0128,6.18375,,
1999-12-27,1.0136,#N/A,,
1999-12-28,1.0068,#N/A,,
1999-12-29,1.0045,6.00375,,
1999-12-30,1.0024,6.00375,,
1999-12-31,1.0070,#N/A,,
2000-01-03,1.0155,#N/A,,
2000-01-04,1.0309,6.04250,,
